instance, best_cost (-1 -> not known), weighted, unweighted, any-time?
max-realizability_wt-power-distribution_3_7.wcnf,1,True,False,False
max-realizability_wt-power-distribution_3_8.wcnf,1,True,False,False
IMLIB-depressed_81_60_16_1_7_5.wcnf,2,True,False,False
IMLIB-pima_44_27_16_1_6_5.wcnf,2,True,False,False
IMLIB-transfusion_85_8_8_1_2_5.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N10_H60_0.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N10_H60_1.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N10_H60_2.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N6_H21_1.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N6_H21_3.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N7_H29_1.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N7_H29_2.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N7_H29_3.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N7_H29_4.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N8_H38_1.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N8_H38_4.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N9_H48_1.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N9_H48_2.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N9_H48_3.wcnf,2,True,False,False
qcp_wt-file_qc_wcnf_N9_H48_4.wcnf,2,True,False,False
spot5_wt-8.wcsp.log.wcnf,2,True,False,False
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_66.wcnf,2,True,False,True
timetabling_wt-EA12.lp.sm-extracted.wcnf,2,True,False,False
max-realizability_wt-power-distribution_1_7.wcnf,3,True,False,False
preference_planning_wt-WCNF_pathways_p02.wcnf,3,True,False,False
preference_planning_wt-WCNF_storage_p01.wcnf,3,True,False,False
timetabling_wt-comp07.lp.sm-extracted.wcnf,3,True,False,True
IMLIB-depressed_81_6_16_1_7_5.wcnf,4,True,False,False
IMLIB-depressed_81_62_16_1_7_5.wcnf,4,True,False,False
IMLIB-pima_44_13_16_1_6_5.wcnf,4,True,False,False
IMLIB-pima_44_24_16_1_6_5.wcnf,4,True,False,False
IMLIB-pima_44_4_16_1_6_5.wcnf,4,True,False,False
IMLIB-pima_44_42_15_1_6_5.wcnf,4,True,False,False
IMLIB-wdbc_32_16_16_1_2_5.wcnf,4,True,False,False
timetabling_wt-comp10.wcnf,4,True,False,True
IMLIB-ionosphere_40_11_8_2_2_5.wcnf,5,True,False,False
IMLIB-transfusion_85_7_8_1_2_5.wcnf,5,True,False,False
preference_planning_wt-WCNF_storage_p02.wcnf,5,True,False,False
haplotyping-pedigrees_wt-ped2.B.recomb1-0.01-3.wcnf,6,True,False,False
IMLIB-depressed_81_48_16_1_7_5.wcnf,6,True,False,False
IMLIB-depressed_81_55_16_1_7_5.wcnf,6,True,False,False
IMLIB-depressed_81_61_16_1_7_5.wcnf,6,True,False,False
max-realizability_wt-power-distribution_4_4.wcnf,6,True,False,False
quantum-circuit-graphstate_6_6_rigetti-agave_8.wcnf,6,True,False,False
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_70.wcnf,6,True,False,True
timetabling_wt-comp07.wcnf,6,True,False,True
IMLIB-depressed_81_7_16_1_7_5.wcnf,9,True,False,False
planning-bnn-inventory_2_5.wcnf,9,True,False,False
max-realizability_wt-power-distribution_2_2.wcnf,10,True,False,False
MaxSATQueriesinInterpretableClassifiers_wt-ionosphere_test_9_DNF_1_15.wcnf,10,True,False,False
planning-bnn-inventory_4_6.wcnf,10,True,False,False
quantum-circuit-qaoa_4_16_ibmq-casablanca_7.wcnf,12,True,False,False
planning-bnn-inventory_4_7.wcnf,15,True,False,True
quantum-circuit-qftentangled_4_21_ibmq-casablanca_7.wcnf,15,True,False,False
quantum-circuit-qpeexact_5_26_ibmq-casablanca_7.wcnf,15,True,False,False
quantum-circuit-qpeinexact_5_26_ibmq-casablanca_7.wcnf,15,True,False,False
MaxSATQueriesinInterpretableClassifiers_wt-parkinsons_test_2_CNF_4_10.wcnf,16,True,False,False
planning-bnn-inventory_2_6.wcnf,16,True,False,False
planning-bnn-inventory_4_8.wcnf,17,True,False,True
max-realizability_wt-power-distribution_9_4.wcnf,18,True,False,False
max-realizability_wt-power-distribution_9_5.wcnf,18,True,False,False
planning-bnn-inventory_2_7.wcnf,18,True,False,False
preference_planning_wt-WCNF_storage_p03.wcnf,18,True,False,False
quantum-circuit-qftentangled_4_39_rigetti-agave_8.wcnf,18,True,False,False
timetabling_wt-comp04.lp.sm-extracted.wcnf,18,True,False,False
timetabling_wt-comp16.wcnf,18,True,False,False
metro_wt-metro_9_9_10_35_13_7_500_2_1.lp.sm-extracted.wcnf,22,True,False,False
quantum-circuit-portfoliovqe_4_18_ibmq-casablanca_7.wcnf,24,True,False,False
quantum-circuit-qgan_6_15_ibmq-casablanca_7.wcnf,24,True,False,True
quantum-circuit-su2random_4_18_ibmq-casablanca_7.wcnf,24,True,False,False
timetabling_wt-comp02.wcnf,24,True,False,True
quantum-circuit-grover-noancilla_4_52_ibmq-casablanca_7.wcnf,27,True,False,True
timetabling_wt-comp06.wcnf,27,True,False,True
MaxSATQueriesinInterpretableClassifiers_wt-ionosphere_test_5_CNF_3_5.wcnf,28,True,False,False
quantum-circuit-qwalk-v-chain_3_30_ibmq-casablanca_7.wcnf,30,True,False,False
metro_wt-metro_9_8_7_30_10_6_500_1_6.lp.sm-extracted.wcnf,31,True,False,False
metro_wt-metro_9_9_10_35_13_7_500_2_2.lp.sm-extracted.wcnf,32,True,False,False
quantum-circuit-portfoliovqe_4_18_rigetti-agave_8.wcnf,33,True,False,False
metro_wt-metro_9_9_10_35_13_7_500_2_4.lp.sm-extracted.wcnf,35,True,False,False
abstraction-refinement_wt-polysite-bloat.wcnf,36,True,False,True
quantum-circuit-realamprandom_4_72_rigetti-agave_8.wcnf,36,True,False,False
metro_wt-metro_9_9_10_35_13_7_500_2_7.lp.sm-extracted.wcnf,37,True,False,False
max-realizability_wt-power-distribution_8_2.wcnf,40,True,False,False
MaxSATQueriesinInterpretableClassifiers_wt-parkinsons_test_4_CNF_3_15.wcnf,41,True,False,False
metro_wt-metro_9_8_7_30_10_6_500_1_3.lp.sm-extracted.wcnf,44,True,False,False
frb_wt-frb10-6-1.wcnf,50,True,False,False
frb_wt-frb10-6-5.wcnf,50,True,False,False
quantum-circuit-su2random_5_30_ibmq-london_5.wcnf,51,True,False,False
quantum-circuit-twolocalrandom_5_30_ibmq-london_5.wcnf,51,True,False,False
timetabling_wt-comp14.wcnf,51,True,False,False
metro_wt-metro_9_8_7_22_10_6_500_1_1.lp.sm-extracted.wcnf,52,True,False,False
metro_wt-metro_9_8_7_22_10_6_500_1_9.lp.sm-extracted.wcnf,52,True,False,False
pseudoBoolean_wt-normalized-factor-size=9-P=53-Q=151.opb.wcnf,53,True,False,False
timetabling_wt-comp19.wcnf,57,True,False,False
pseudoBoolean_wt-normalized-factor-size=9-P=59-Q=419.opb.wcnf,59,True,False,False
max-realizability_wt-power-distribution_10_3.wcnf,60,True,False,False
max-realizability_wt-power-distribution_10_5.wcnf,60,True,False,False
max-realizability_wt-power-distribution_10_7.wcnf,60,True,False,True
metro_wt-metro_9_8_7_22_10_6_500_1_2.lp.sm-extracted.wcnf,60,True,False,False
synplicate_new-synplicate_synthetic_dag_run1_17_size_5_ms_0_25_0_erm.wcnf,66,True,False,True
timetabling_wt-comp21.wcnf,74,True,False,True
pseudoBoolean_wt-normalized-factor-size=9-P=79-Q=257.opb.wcnf,79,True,False,False
pseudoBoolean_wt-normalized-factor-size=9-P=83-Q=367.opb.wcnf,83,True,False,False
pseudoBoolean_wt-normalized-factor-size=9-P=89-Q=487.opb.wcnf,89,True,False,False
metro_wt-metro_8_8_5_20_10_6_500_1_2.lp.sm-extracted.wcnf,91,True,False,False
MaxSATQueriesinInterpretableClassifiers_wt-ionosphere_test_3_CNF_5_15.wcnf,94,True,False,False
metro_wt-inst2.lp.sm-extracted.wcnf,97,True,False,False
af-synthesis_wt-af-synthesis_stb_50_200_5.wcnf,102,True,False,True
metro_wt-metro_8_8_5_20_10_6_500_1_9.lp.sm-extracted.wcnf,105,True,False,False
MaxSATQueriesinInterpretableClassifiers_wt-ionosphere_test_3_CNF_3_15.wcnf,107,True,False,False
af-synthesis_wt-af-synthesis_stb_50_160_1.wcnf,108,True,False,True
af-synthesis_wt-af-synthesis_stb_50_140_7.wcnf,109,True,False,True
metro_wt-metro_8_8_5_20_10_6_500_1_5.lp.sm-extracted.wcnf,110,True,False,False
af-synthesis_wt-af-synthesis_stb_50_40_0.wcnf,111,True,False,True
af-synthesis_wt-af-synthesis_stb_50_160_5.wcnf,113,True,False,True
af-synthesis_wt-af-synthesis_stb_50_160_9.wcnf,113,True,False,True
af-synthesis_wt-af-synthesis_stb_50_120_5.wcnf,114,True,False,True
af-synthesis_wt-af-synthesis_stb_50_40_6.wcnf,115,True,False,True
preference_planning_wt-WCNF_pathways_p07.wcnf,115,True,False,False
af-synthesis_wt-af-synthesis_stb_50_20_4.wcnf,117,True,False,True
af-synthesis_wt-af-synthesis_stb_50_40_8.wcnf,117,True,False,True
preference_planning_wt-WCNF_pathways_p11.wcnf,118,True,False,False
af-synthesis_wt-af-synthesis_stb_50_140_0.wcnf,120,True,False,True
af-synthesis_wt-af-synthesis_stb_50_20_8.wcnf,120,True,False,True
frb_wt-frb15-9-1.wcnf,120,True,False,False
frb_wt-frb15-9-4.wcnf,120,True,False,False
af-synthesis_wt-af-synthesis_stb_50_100_4.wcnf,123,True,False,True
af-synthesis_wt-af-synthesis_stb_50_200_0.wcnf,124,True,False,True
max-realizability_wt-power-distribution_11_5.wcnf,126,True,False,False
max-realizability_wt-power-distribution_11_6.wcnf,126,True,False,True
max-realizability_wt-power-distribution_11_7.wcnf,126,True,False,True
af-synthesis_wt-af-synthesis_stb_50_140_1.wcnf,127,True,False,True
preference_planning_wt-WCNF_pathways_p10.wcnf,129,True,False,False
metro_wt-metro_8_8_5_20_10_6_500_1_3.lp.sm-extracted.wcnf,138,True,False,True
relational-inference_wt-pa-2.wcnf,143,True,False,True
MaxSATQueriesinInterpretableClassifiers_wt-wdbc_train_0_DNF_1_5.wcnf,144,True,False,False
MaxSATQueriesinInterpretableClassifiers_wt-parkinsons_train_3_CNF_2_20.wcnf,148,True,False,False
pseudoBoolean_wt-normalized-factor-size=9-P=149-Q=163.opb.wcnf,149,True,False,False
pseudoBoolean_wt-normalized-factor-size=9-P=149-Q=167.opb.wcnf,149,True,False,False
pseudoBoolean_wt-normalized-factor-size=9-P=157-Q=181.opb.wcnf,157,True,False,False
protein_ins_wt-1vii_.1cph_.g.wcnf.t.wcnf,165,True,False,False
MaxSATQueriesinInterpretableClassifiers_wt-heart_train_1_CNF_3_5.wcnf,171,True,False,True
synplicate-AutoTaxi-run3-ms_0_86_0.85_erm.wcnf,171,True,False,False
preference_planning_wt-WCNF_storage_p06.wcnf,173,True,False,False
synplicate-AutoTaxi-run3-ms_0_80_0.89_erm.wcnf,173,True,False,False
setcover_wt-rail507.wcnf,174,True,False,True
planning_wt-bwt3cc.wcsp.wcnf,177,True,False,False
metro_wt-inst22.lp.sm-extracted.wcnf,180,True,False,False
setcover_wt-rail516.wcnf,182,True,False,True
synplicate-AutoTaxi-run1-ms_0_80_0.9099099099099099_erm.wcnf,184,True,False,False
MaxSATQueriesinInterpretableClassifiers_wt-heart_train_8_CNF_2_5.wcnf,188,True,False,False
preference_planning_wt-WCNF_pathways_p12.wcnf,188,True,False,False
relational-inference_wt-pa-3.wcnf,192,True,False,True
rna-alignment_wt-random-same-10.rna.pre.wcnf,198,True,False,False
frb_wt-frb20-11-1.wcnf,200,True,False,False
frb_wt-frb20-11-2.wcnf,200,True,False,False
frb_wt-frb20-11-3.wcnf,200,True,False,False
frb_wt-frb20-11-5.wcnf,200,True,False,False
synplicate-AutoTaxi-run2-ms_0_59_0.9429429429429429_erm.wcnf,201,True,False,False
synplicate-AutoTaxi-run2-ms_0_50_0.9429429429429429_erm.wcnf,210,True,False,False
setcover_wt-rail582.wcnf,211,True,False,True
pseudoBoolean_wt-normalized-factor-size=9-P=223-Q=307.opb.wcnf,223,True,False,False
rna-alignment_wt-random-same-25.rna.pre.wcnf,224,True,False,False
preference_planning_wt-WCNF_pathways_p18.wcnf,228,True,False,False
mpmcs_wt-test4--n-2500.wcnf,238,True,False,False
synplicate-BankLoan-run3-ms_0_71_0.8465753424657534_erm.wcnf,243,True,False,False
MaxSATQueriesinInterpretableClassifiers_wt-titanic_test_9_CNF_4_10.wcnf,245,True,False,False
preference_planning_wt-WCNF_pathways_p20.wcnf,247,True,False,False
synplicate-AutoTaxi-run2-ms_0_20_0.9429429429429429_erm.wcnf,256,True,False,False
preference_planning_wt-WCNF_pathways_p16.wcnf,257,True,False,True
synplicate-BankLoan-run4-ms_0_59_0.9325657894736842_erm.wcnf,257,True,False,False
spot5_wt-5.wcsp.dir.wcnf,261,True,False,False
MaxSATQueriesinInterpretableClassifiers_wt-ilpd_test_9_DNF_2_15.wcnf,264,True,False,False
pseudoBoolean_wt-normalized-factor-size=9-P=283-Q=293.opb.wcnf,283,True,False,False
planning_wt-mprime01bc.wcsp.wcnf,284,True,False,False
synplicate-TheoremProver-run3-ms_0_74_0.8488188976377953_erm.wcnf,284,True,False,False
synplicate-TheoremProver-run2-ms_0_68_0.8658227848101265_erm.wcnf,289,True,False,False
synplicate-TheoremProver-run1-ms_0_92_0.8272727272727273_erm.wcnf,297,True,False,False
frb_wt-frb25-13-2.wcnf,300,True,False,False
synplicate-TheoremProver-run3-ms_0_53_0.8771653543307086_erm.wcnf,305,True,False,False
rna-alignment_wt-random-same-22.rna.pre.wcnf,309,True,False,False
synplicate-TheoremProver-run2-ms_0_47_0.8962025316455696_erm.wcnf,310,True,False,False
synplicate_new-synplicate_complete_tree_arity3_feature_3_size_5_ms_0_25_0_erm.wcnf,311,True,False,True
synplicate-AutoTaxi-run4-ms_0_60_0.9569230769230769_erm.wcnf,317,True,False,False
ramsey_wt-ram_k3_n11.ra1.wcnf,318,True,False,True
planning_wt-mprime03c.wcsp.wcnf,320,True,False,False
synplicate-TheoremProver-run2-ms_0_35_0.8962025316455696_erm.wcnf,322,True,False,False
warehouses_wt-warehouse0.wcsp.wcnf,328,True,False,False
pseudoBoolean_wt-normalized-factor-size=9-P=331-Q=379.opb.wcnf,331,True,False,False
synplicate_new-synplicate_complete_tree_arity2_feature_4_size_6_ms_0_25_0_erm.wcnf,336,True,False,True
pseudoBoolean_wt-normalized-factor-size=9-P=353-Q=479.opb.wcnf,353,True,False,False
lisbon-wedding_wt-lisbon-wedding-10-17.wcnf,377,True,False,True
lisbon-wedding_wt-lisbon-wedding-9-17.wcnf,394,True,False,True
lisbon-wedding_wt-lisbon-wedding-9-18.wcnf,395,True,False,True
synplicate_new-synplicate_synthetic_dag_run2_11_size_10_ms_26_50_0_erm.wcnf,400,True,False,True
frb_wt-frb30-15-1.wcnf,420,True,False,False
frb_wt-frb30-15-3.wcnf,420,True,False,False
pseudoBoolean_wt-normalized-factor-size=9-P=421-Q=449.opb.wcnf,421,True,False,False
judgment-aggregation-ja-kemeny-preflib-00049-00000107.wcnf,423,True,False,False
rna-alignment_wt-random-dif-19.rna.pre.wcnf,432,True,False,False
judgment-aggregation-ja-kemeny-preflib-00043-00000180.wcnf,433,True,False,True
pseudoBoolean_wt-normalized-factor-size=9-P=439-Q=509.opb.wcnf,439,True,False,False
rna-alignment_wt-k50-22-58.rna.pre.wcnf,484,True,False,False
judgment-aggregation-ja-kemeny-preflib-00049-00000405.wcnf,504,True,False,False
rna-alignment_wt-k50-37-46.rna.pre.wcnf,519,True,False,False
ramsey_wt-ram_k3_n12.ra1.wcnf,524,True,False,True
judgment-aggregation-ja-kemeny-preflib-00049-00000334.wcnf,542,True,False,True
judgment-aggregation-ja-kemeny-preflib-00051-00000007.wcnf,545,True,False,True
judgment-aggregation-ja-kemeny-preflib-00049-00000468.wcnf,548,True,False,True
judgment-aggregation-ja-kemeny-preflib-00049-00000353.wcnf,554,True,False,True
frb_wt-frb35-17-2.wcnf,560,True,False,False
frb_wt-frb35-17-3.wcnf,560,True,False,False
rna-alignment_wt-random-same-12.rna.pre.wcnf,597,True,False,False
rna-alignment_wt-random-dif-13.rna.pre.wcnf,604,True,False,False
judgment-aggregation-ja-kemeny-preflib-00049-00000454.wcnf,631,True,False,True
judgment-aggregation-ja-kemeny-preflib-00051-00000009.wcnf,633,True,False,True
judgment-aggregation-ja-kemeny-preflib-00049-00000377.wcnf,647,True,False,True
haplotyping-pedigrees_wt-ped3.D.recomb10-0.20-15.wcnf,689,True,False,False
judgment-aggregation-ja-kemeny-preflib-00051-00000011.wcnf,694,True,False,True
frb_wt-frb40-19-3.wcnf,720,True,False,True
frb_wt-frb40-19-4.wcnf,720,True,False,True
rna-alignment_wt-random-dif-5.rna.pre.wcnf,730,True,False,False
planning_wt-zenotravel02cc.wcsp.dir.wcnf,742,True,False,False
judgment-aggregation-ja-kemeny-preflib-00049-00000300.wcnf,776,True,False,True
judgment-aggregation-ja-kemeny-preflib-00049-00000287.wcnf,782,True,False,True
rna-alignment_wt-random-dif-12.rna.pre.wcnf,785,True,False,False
judgment-aggregation-ja-kemeny-preflib-00049-00000614.wcnf,792,True,False,True
mpmcs_wt-test24--n-5000.wcnf,793,True,False,False
drmx-cryptogen_wt-geffe128_1.wcnf,800,True,False,False
drmx-cryptogen_wt-geffe128_2.wcnf,800,True,False,False
drmx-cryptogen_wt-geffe128_3.wcnf,800,True,False,False
drmx-cryptogen_wt-geffe128_8.wcnf,800,True,False,False
drmx-cryptogen_wt-geffe128_9.wcnf,800,True,False,False
drmx-cryptogen_wt-threshold128_0.wcnf,800,True,False,True
drmx-cryptogen_wt-threshold128_1.wcnf,800,True,False,True
drmx-cryptogen_wt-threshold128_2.wcnf,800,True,False,True
drmx-cryptogen_wt-threshold128_6.wcnf,800,True,False,True
drmx-cryptogen_wt-threshold128_8.wcnf,800,True,False,True
planning_wt-bwt5c.wcsp.wcnf,800,True,False,False
lisbon-wedding_wt-lisbon-wedding-5-17.wcnf,802,True,False,False
lisbon-wedding_wt-lisbon-wedding-4-18.wcnf,803,True,False,False
lisbon-wedding_wt-lisbon-wedding-5-19.wcnf,805,True,False,True
relational-inference_wt-pa-1.wcnf,820,True,False,True
planning_wt-bwt5cc.wcsp.wcnf,866,True,False,False
judgment-aggregation-ja-kemeny-preflib-00049-00000451.wcnf,928,True,False,True
planning_wt-driverlog09.wcsp.wcnf,960,True,False,False
lisbon-wedding_wt-lisbon-wedding-1-18.wcnf,961,True,False,True
planning_wt-driverlog01cc.wcsp.dir.wcnf,1106,True,False,False
planning_wt-driverlog01cc.wcsp.wcnf,1117,True,False,False
protein_ins_wt-6ebx_.1era_.g.wcnf.t.wcnf,1646,True,False,True
rna-alignment_wt-k100-13-40.rna.pre.wcnf,1723,True,False,False
protein_ins_wt-3ebx_.6ebx_.g.wcnf.t.wcnf,1740,True,False,False
rna-alignment_wt-k100-44-65.rna.pre.wcnf,1759,True,False,False
protein_ins_wt-1knt_.2knt_.g.wcnf.t.wcnf,1767,True,False,False
rna-alignment_wt-k100-33-71.rna.pre.wcnf,1813,True,False,False
rna-alignment_wt-k100-40-52.rna.pre.wcnf,1861,True,False,False
rna-alignment_wt-k100-14-38.rna.pre.wcnf,1953,True,False,False
protein_ins_wt-2knt_.5pti_.g.wcnf.t.wcnf,2156,True,False,True
protein_ins_wt-1knt_.5pti_.g.wcnf.t.wcnf,2208,True,False,True
tcp_wt-tcp_students_91_it_14.wcnf,2208,True,False,False
planning_wt-driverlog08c.wcsp.wcnf,2220,True,False,False
protein_ins_wt-sandiaprotein.g.wcnf.t.wcnf,2248,True,False,True
protein_ins_wt-1bpi_.2knt_.g.wcnf.t.wcnf,2407,True,False,True
protein_ins_wt-p1.wcnf.t.wcnf,2407,True,False,True
haplotyping-pedigrees_wt-ped3.F.recomb10-0.20-13.wcnf,2412,True,False,False
protein_ins_wt-1knt_.1bpi_.g.wcnf.t.wcnf,2464,True,False,True
planning_wt-zenotravel02c.wcsp.dir.wcnf,2485,True,False,False
protein_ins_wt-3ebx_.1era_.g.wcnf.t.wcnf,2517,True,False,True
planning_wt-driverlog05cc.wcsp.dir.wcnf,2659,True,False,False
tcp_wt-tcp_students_98_it_11.wcnf,2694,True,False,True
tcp_wt-tcp_students_98_it_8.wcnf,2727,True,False,False
tcp_wt-tcp_students_91_it_13.wcnf,2730,True,False,True
tcp_wt-tcp_students_91_it_11.wcnf,2766,True,False,False
tcp_wt-tcp_students_91_it_6.wcnf,2877,True,False,False
protein_ins_wt-1bpi_.5pti_.g.wcnf.t.wcnf,2974,True,False,False
tcp_wt-tcp_students_98_it_12.wcnf,2994,True,False,False
tcp_wt-tcp_students_91_it_8.wcnf,3177,True,False,False
railway-transport_wt-bf2030fvcons.wcnf,3271,True,False,True
tcp_wt-tcp_students_98_it_7.wcnf,3363,True,False,False
tcp_wt-tcp_students_112_it_5.wcnf,3366,True,False,True
tcp_wt-tcp_students_112_it_7.wcnf,3513,True,False,False
tcp_wt-tcp_students_112_it_8.wcnf,3552,True,False,False
tcp_wt-tcp_students_112_it_10.wcnf,3624,True,False,False
tcp_wt-tcp_students_112_it_14.wcnf,3663,True,False,False
planning_wt-zenotravel04bc.wcsp.wcnf,4110,True,False,False
railway-transport_wt-f2030.wcnf,4195,True,False,True
abstraction-refinement_wt-downcast-pmd.wcnf,4227,True,False,True
planning_wt-logistics01cc.wcsp.wcnf,4282,True,False,False
mpmcs_wt-test9--n-2500.wcnf,4301,True,False,False
haplotyping-pedigrees_wt-ped2.G.recomb1-0.20-14.wcnf,5267,True,False,False
relational-inference_wt-rc-2.wcnf,5722,True,False,False
relational-inference_wt-rc-3.wcnf,5722,True,False,False
mpmcs_wt-test56--n-7500.wcnf,7545,True,False,False
CSG_wt-CSG60-60-88.wcnf,7714,True,False,False
mpmcs_wt-test5--n-2500.wcnf,7879,True,False,False
spot5_wt-29.wcsp.dir.wcnf,8059,True,False,False
spot5_wt-29.wcsp.log.wcnf,8059,True,False,False
CSG_wt-CSG40-40-95.wcnf,8847,True,False,False
