Name,CASHWMaxSAT-DisjCom-S6,CASHWMaxSAT-DisjCom-S9,UWrMaxSat-SCIP,EvalMaxSAT,CASHWMaxSAT-DisjCad-S6,CASHWMaxSAT-DisjCad-S9,EvalMaxSAT-SBVA,EvalMaxSAT-SBVA-saveCores,wmaxcdcl-openwbo1200,cgss_default,cgss_abst_cg,wmaxcdcl,Pacose,PacoseMP2,Exact,VBS
spot5_wt-1405.wcsp.dir.wcnf,3337.68,FAILED,FAILED,FAILED,3420.71,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,81.8113,91.7634,FAILED,81.8113
spot5_wt-1405.wcsp.log.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,114.913,2074.48,FAILED,114.913
spot5_wt-1407.wcsp.log.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,117.353,2600.75,FAILED,117.353
spot5_wt-1502.wcsp.log.wcnf,0.092,0.0822,0.0093,2.3498,0.1158,0.1152,2.3787,2.4305,0.012,0.004,0.0043,1.024,0.0114,3.5544,0.0162,0.004
spot5_wt-1504.wcsp.dir.wcnf,2400.43,2700.84,1.1267,323.901,144.148,144.64,186.343,186.341,34.7424,0.532,0.5977,1412.98,3.0015,34.4533,14.7762,0.532
spot5_wt-29.wcsp.dir.wcnf,0.7239,0.675,0.01,1.7868,0.1106,0.1106,1.8328,1.857,0.014,0.0044,0.0048,1.8935,0.0115,3.2734,0.5134,0.0044
spot5_wt-29.wcsp.log.wcnf,0.6401,0.6122,0.0102,2.4177,0.6685,0.6666,2.4515,2.312,0.0159,0.0046,0.0052,1.3009,0.0141,3.1902,0.0387,0.0046
spot5_wt-414.wcsp.dir.wcnf,90.6183,97.4439,0.1775,189.834,12.7473,12.8028,186.87,186.555,2.1383,0.1166,0.1027,36.6181,2.0103,6.4455,20.7123,0.1027
spot5_wt-414.wcsp.log.wcnf,2399.9,2700.14,0.2388,594.828,2400.44,2100.14,594.942,591.463,15.7972,0.1393,0.1617,30.5514,2.0938,4.447,FAILED,0.1393
spot5_wt-42.wcsp.dir.wcnf,16.0442,16.0343,0.2552,12.7999,1.4816,1.4812,12.7596,13.1613,1.9866,0.5165,0.5429,95.7664,0.5004,4.699,FAILED,0.2552
spot5_wt-5.wcsp.dir.wcnf,1471.73,1669.88,1519.28,265.575,101.448,101.479,215.671,215.675,1876.92,1186.4,302.907,397.21,16.7498,18.0201,FAILED,16.7498
spot5_wt-507.wcsp.dir.wcnf,112.962,113.009,0.1077,200.554,10.3233,10.2889,189.324,188.904,0.7682,0.0809,0.0911,29.4546,1.2454,6.3926,1.6747,0.0809
spot5_wt-507.wcsp.log.wcnf,2400.22,2700.15,0.1649,591.911,2400.14,2700.35,592.642,598.187,11.7153,0.1359,0.1165,37.908,1.2905,3.8225,FAILED,0.1165
spot5_wt-509.wcsp.dir.wcnf,207.595,223.569,0.1504,209.679,37.3571,37.3159,198.788,198.81,2.22,0.1114,0.1171,56.9652,1.3409,6.436,FAILED,0.1114
spot5_wt-8.wcsp.log.wcnf,0.0066,0.0067,0.0047,0.0088,0.0068,0.0068,0.0089,0.0096,0.0092,0.0011,0.0013,0.0009,0.0029,1.2747,0.0031,0.0009
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_100.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_150.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_200.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_66.wcnf,FAILED,FAILED,FAILED,3001.11,FAILED,FAILED,FAILED,FAILED,2741.68,FAILED,FAILED,2268.94,1365.58,1390.44,FAILED,1365.58
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_68.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_70.wcnf,2425,2428.02,3418.73,1303.26,FAILED,FAILED,1933.79,1280.24,1907.51,FAILED,FAILED,1014.61,499.97,653.557,FAILED,499.97
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_74.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_76.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_80.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_complete_tree_arity2_feature_4_size_10_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_complete_tree_arity2_feature_4_size_11_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_complete_tree_arity2_feature_4_size_6_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2849.66,FAILED,2849.66
synplicate_new-synplicate_complete_tree_arity2_feature_4_size_8_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_complete_tree_arity2_feature_4_size_9_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_complete_tree_arity3_feature_3_size_10_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_complete_tree_arity3_feature_3_size_11_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_complete_tree_arity3_feature_3_size_5_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2782.09,2011.05,FAILED,2011.05
synplicate_new-synplicate_complete_tree_arity3_feature_3_size_8_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_complete_tree_arity3_feature_4_size_10_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_complete_tree_arity3_feature_4_size_12_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_complete_tree_arity3_feature_4_size_5_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_complete_tree_arity3_feature_4_size_6_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_complete_tree_arity5_feature_3_size_7_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_synthetic_dag_run1_14_size_5_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_synthetic_dag_run1_14_size_6_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_synthetic_dag_run1_16_size_4_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_synthetic_dag_run1_17_size_5_ms_0_25_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,2753.1,FAILED,2753.1
synplicate_new-synplicate_synthetic_dag_run2_0_size_10_ms_26_50_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_synthetic_dag_run2_10_size_11_ms_26_50_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_synthetic_dag_run2_11_size_10_ms_26_50_0_erm.wcnf,3200.26,FAILED,FAILED,1975.28,FAILED,FAILED,1965.83,1964.59,FAILED,888.386,723.735,FAILED,FAILED,FAILED,FAILED,723.735
synplicate_new-synplicate_synthetic_dag_run2_12_size_8_ms_26_50_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_synthetic_dag_run2_13_size_11_ms_26_50_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_synthetic_dag_run2_16_size_9_ms_26_50_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate_new-synplicate_synthetic_dag_run2_17_size_10_ms_26_50_0_erm.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
synplicate-AutoTaxi-run1-ms_0_80_0.9099099099099099_erm.wcnf,613.514,911.427,1268.46,595.681,602.813,902.888,594.724,597.636,576.939,81.3327,74.5477,156.021,9.0121,13.7891,1680.38,9.0121
synplicate-AutoTaxi-run2-ms_0_20_0.9429429429429429_erm.wcnf,600.544,1500.29,0.4362,405.495,601.226,902.882,408.64,408.114,1.4505,0.4333,0.4378,3.6974,1.1329,5.4653,3.0352,0.4333
synplicate-AutoTaxi-run2-ms_0_50_0.9429429429429429_erm.wcnf,601.583,901.617,2.1729,588.375,602.398,903.397,590.93,592.928,13.1258,5.6479,3.3324,27.8626,5.3414,13.1847,1207.79,2.1729
synplicate-AutoTaxi-run2-ms_0_59_0.9429429429429429_erm.wcnf,602.795,902.834,4.8034,592.015,604.617,902.87,594.132,594.932,14.3419,3.3901,4.0332,42.5201,6.1914,11.7451,1486.92,3.3901
synplicate-AutoTaxi-run3-ms_0_80_0.89_erm.wcnf,602.889,2102.7,9.9925,424.976,603.295,903.272,428.416,424.653,28.8026,23.5591,11.5297,6.2344,2.463,6.3437,112.303,2.463
synplicate-AutoTaxi-run3-ms_0_86_0.85_erm.wcnf,1164.15,2704.31,11.9639,444.759,606.545,906.424,446.631,440.171,35.8939,15.7842,11.5657,12.0595,3.5693,7.1773,339.144,3.5693
synplicate-AutoTaxi-run4-ms_0_60_0.9569230769230769_erm.wcnf,647.908,955.79,137.499,638.7,634.892,934.804,616.593,626.668,38.6571,408.007,72.0465,74.6936,29.9303,35.4771,FAILED,29.9303
synplicate-BankLoan-run3-ms_0_71_0.8465753424657534_erm.wcnf,645.94,945.542,279.246,592.872,605.669,903.301,591.267,594.492,38.3827,245.407,4.3679,46.323,8.2342,10.3523,FAILED,4.3679
synplicate-BankLoan-run4-ms_0_59_0.9325657894736842_erm.wcnf,612.373,913.634,7.2696,594.031,605.295,909.96,590.975,591.669,23.0329,3.5743,3.5961,45.0775,11.2351,12.0465,177.195,3.5743
synplicate-TheoremProver-run1-ms_0_92_0.8272727272727273_erm.wcnf,112.638,112.916,0.1468,404.745,382.321,380.788,336.111,306.227,1.4121,0.3015,0.2547,0.6809,0.1733,4.871,0.7401,0.1468
synplicate-TheoremProver-run2-ms_0_35_0.8962025316455696_erm.wcnf,1200.59,1500.54,1.0372,413.21,602.214,901.611,413.062,416.545,3.944,1.438,1.2933,2.4816,1.202,5.6559,2752.99,1.0372
synplicate-TheoremProver-run2-ms_0_47_0.8962025316455696_erm.wcnf,600.991,900.968,3.4786,427.353,611.652,911.665,430.055,430.003,15.0865,1.7665,2.3359,2.846,1.1945,5.5589,2422.83,1.1945
synplicate-TheoremProver-run2-ms_0_68_0.8658227848101265_erm.wcnf,1201.81,2702.16,7.88,437.992,614.693,915.111,437.443,438.037,8.9109,1.7034,1.7576,2.3408,0.8915,5.4305,543.675,0.8915
synplicate-TheoremProver-run3-ms_0_53_0.8771653543307086_erm.wcnf,601.625,901.878,5.6716,442.456,606.651,905.569,442.493,442.427,12.4493,2.0255,2.7593,5.5502,1.4791,5.5576,1588.16,1.4791
synplicate-TheoremProver-run3-ms_0_74_0.8488188976377953_erm.wcnf,1369.1,1669.19,5.372,557.695,1803.85,1503.24,539.129,537.863,7.5226,1.4744,2.2213,8.212,1.657,5.9494,198.347,1.4744
tcp_wt-tcp_students_112_it_10.wcnf,637.071,937.266,4.7858,150.735,13.8843,13.8349,152.293,149.687,21.2505,5.9484,8.9028,46.7396,12.2224,17.759,191.346,4.7858
tcp_wt-tcp_students_112_it_13.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
tcp_wt-tcp_students_112_it_14.wcnf,1371.1,1401.54,0.6804,10.6044,2.4448,2.4531,13.972,18.0992,2.4489,1.0408,1.1162,3.4829,2.1478,5.4409,2.8067,0.6804
tcp_wt-tcp_students_112_it_5.wcnf,1778.53,2079.79,1721.48,833.099,843.457,845.105,953.275,915.164,455.828,1777.85,3099.11,530.693,642.514,239.515,FAILED,239.515
tcp_wt-tcp_students_112_it_7.wcnf,2433.35,2733.58,4.9798,113.909,13.8377,13.8398,99.7563,144.089,17.8468,10.2147,11.004,27.79,14.5646,24.366,118.487,4.9798
tcp_wt-tcp_students_112_it_8.wcnf,87.0578,87.3358,0.8114,13.439,2.645,2.6472,15.5123,17.9593,2.0641,0.8214,1.4435,4.6417,2.329,6.8471,2.1161,0.8114
tcp_wt-tcp_students_91_it_11.wcnf,1056.98,1061.16,1.6916,30.408,4.1873,4.2041,53.5526,79.8415,9.7832,2.5722,3.1751,7.0429,5.0118,7.0661,16.8529,1.6916
tcp_wt-tcp_students_91_it_13.wcnf,1414.45,1630.14,306.161,1021.05,1047.82,1061.85,1035.26,1358.44,498.792,638.323,351.356,713.844,812.076,630.163,FAILED,306.161
tcp_wt-tcp_students_91_it_14.wcnf,673.656,973.733,4.5921,160.926,94.5586,94.2991,84.4028,147.427,15.9159,10.2897,10.762,63.4947,9.6675,15.0524,122.724,4.5921
tcp_wt-tcp_students_91_it_6.wcnf,602.393,1234.44,0.7111,14.0213,3.432,3.408,17.2438,19.7012,2.8673,0.8625,1.3651,4.3176,1.4091,6.3302,6.1907,0.7111
tcp_wt-tcp_students_91_it_8.wcnf,12.1187,12.1766,0.3154,9.1113,0.8362,0.8364,7.9847,11.132,0.1064,0.4061,0.407,1.4193,0.5931,5.5021,0.7178,0.1064
tcp_wt-tcp_students_98_it_11.wcnf,FAILED,FAILED,1869.48,2133.3,FAILED,FAILED,1564.15,1915.96,981.345,FAILED,FAILED,FAILED,3270.04,FAILED,FAILED,981.345
tcp_wt-tcp_students_98_it_12.wcnf,1898.61,2202.83,5.2653,66.7824,30.3984,30.4405,71.2973,74.3434,22.6183,9.102,8.8447,44.6389,26.9089,21.4796,111.83,5.2653
tcp_wt-tcp_students_98_it_7.wcnf,602.04,902.01,1.6014,19.9001,3.8752,3.8852,22.2987,23.5231,10.1032,2.3082,2.3874,15.9953,5.006,11.8746,7.0486,1.6014
tcp_wt-tcp_students_98_it_8.wcnf,611.677,912.006,1.7543,22.4014,18.6385,18.613,32.6364,25.4644,10.7424,2.8602,3.9115,5.2555,3.9548,8.3336,7.2808,1.7543
timetabling_wt-comp02.wcnf,2070.91,2423.23,2415.01,830.18,589.131,588.337,1152.41,1157.08,304.786,1150.83,2985.16,FAILED,566.22,466.205,FAILED,304.786
timetabling_wt-comp04.lp.sm-extracted.wcnf,694.656,927.785,21.9962,398.482,141.907,142.077,462.834,462.774,182.577,172.879,167.407,1135.22,905.48,1117.97,FAILED,21.9962
timetabling_wt-comp06.wcnf,87.1367,68.8905,50.2086,357.802,111.383,111.624,520.632,529.503,58.2043,75.6275,86.6553,FAILED,405.227,379.407,FAILED,50.2086
timetabling_wt-comp07.lp.sm-extracted.wcnf,605.186,688.894,313.644,610.061,409.441,409.489,1158.99,1162.23,1350.87,FAILED,FAILED,181.852,FAILED,FAILED,FAILED,181.852
timetabling_wt-comp07.wcnf,322.268,320.896,145.653,247.118,133.305,134.153,477.822,477.534,248.198,FAILED,FAILED,333.25,1181.1,1933.99,FAILED,133.305
timetabling_wt-comp09.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
timetabling_wt-comp10.wcnf,46.6999,46.7893,36.5362,180.374,13.0589,13.0371,379.475,317.736,43.092,68.2277,66.5392,251.379,221.788,368.701,2455.93,13.0371
timetabling_wt-comp14.wcnf,619.223,919.077,22.3772,162.51,28.561,28.4957,404.395,338.767,16.5731,11.1284,10.0748,1141.85,46.8286,72.182,175.912,10.0748
timetabling_wt-comp16.wcnf,45.0447,39.9611,35.1766,127.397,38.083,38.2729,315.101,310.047,19.1335,13.0591,15.0968,166.175,85.2942,158.582,903.778,13.0591
timetabling_wt-comp19.wcnf,689.294,1001.31,82.5704,368.489,306.126,304.268,596.331,498.514,173.58,166.042,25.9725,2301.04,58.3278,76.5978,FAILED,25.9725
timetabling_wt-comp21.wcnf,FAILED,FAILED,FAILED,1451.02,2142.95,2048.88,3596.8,1200.2,FAILED,FAILED,FAILED,FAILED,2092.05,2513.43,FAILED,1200.2
timetabling_wt-EA12.lp.sm-extracted.wcnf,608.838,926.463,24.6725,223.748,96.8563,96.6292,206.736,210.363,100.227,104.846,104.064,63.51,66.4103,168.901,894.756,24.6725
timetabling_wt-test4.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
upgradeability_wt-mancoosi-test-i1000d0u98-2.wcnf,0.94,1.0229,0.321,186.5,1.1363,1.1398,193.151,193.108,1.9208,0.5747,0.5676,1.1865,1.0825,5.8105,41.4779,0.321
upgradeability_wt-mancoosi-test-i10d0u98-0.wcnf,0.8181,0.8273,0.315,183.439,1.019,1.0209,189.718,189.687,0.2816,0.2454,0.2459,0.1687,0.3878,1.3696,0.4485,0.1687
upgradeability_wt-mancoosi-test-i10d0u98-16.wcnf,0.8212,0.8226,0.3088,183.425,1.0299,1.0279,189.715,189.764,0.3905,0.3069,0.2853,0.1658,0.4097,1.3648,0.4461,0.1658
upgradeability_wt-mancoosi-test-i10d0u98-9.wcnf,0.823,0.8315,0.3059,183.405,1.0213,1.0215,190.307,190.408,0.2943,0.2847,0.2881,0.1835,0.3863,1.3737,0.4497,0.1835
upgradeability_wt-mancoosi-test-i20d0u98-0.wcnf,0.9303,0.8257,0.325,184.216,1.028,1.0295,184.141,190.792,0.3638,0.3628,0.3635,0.161,0.3712,1.3648,0.5471,0.161
upgradeability_wt-mancoosi-test-i3000d0u98-73.wcnf,1.0045,1.0103,0.3403,188.968,1.2248,1.2244,195.891,195.866,2.3084,0.6776,0.6818,1.5051,7.8084,4.7391,23.6476,0.3403
upgradeability_wt-mancoosi-test-i4000d0u98-84.wcnf,1.0232,1.021,0.3508,192.065,1.2302,1.2425,199.735,199.793,2.5231,0.7701,0.7602,1.5239,FAILED,4.9473,28.7939,0.3508
upgradeability_wt-mancoosi-test-i4000d0u98-92.wcnf,1.0393,1.0425,0.3506,191.458,1.3525,1.351,198.619,198.481,2.4428,0.8507,0.8546,1.632,142.319,5.8989,18.8408,0.3506
upgradeability_wt-mancoosi-test-i4000d0u98-93.wcnf,1.8782,1.8865,0.3708,192.505,1.2221,1.2442,199.23,198.993,2.2903,0.6693,0.6635,2.1701,65.0341,5.9181,18.342,0.3708
upgradeability_wt-mancoosi-test-i4000d0u98-94.wcnf,1.1143,1.1063,0.3468,192.45,1.2078,1.2087,200.098,200.103,2.3689,0.7758,0.8017,0.6257,780.336,40.7367,29.5033,0.3468
upgradeability_wt-mancoosi-test-i40d0u98-7.wcnf,0.9629,0.8409,0.3701,184.234,1.0322,1.0362,190.287,190.697,0.3905,0.3606,0.3722,0.1789,0.3984,2.6345,0.5309,0.1789
upgradeability_wt-rand196_l2.wcnf,4.6514,4.6966,3.799,186.731,9.4675,9.4117,194.373,197.498,12.132,6.7406,9.9509,219.964,FAILED,FAILED,FAILED,3.799
upgradeability_wt-rand30_l1.wcnf,1.6385,1.8068,0.5861,182.035,1.8201,1.8221,182.778,182.582,0.4775,0.8325,1.2128,12.519,859.485,FAILED,FAILED,0.4775
upgradeability_wt-rand653_l2.wcnf,0.7113,0.843,0.8374,175.784,2.2862,2.2921,179.124,186.402,5.4247,1.3399,2.1355,94.3638,2834.22,296.278,FAILED,0.7113
upgradeability_wt-rand717_l2.wcnf,5.8814,4.9343,4.493,190.83,9.4103,9.4904,199.324,199.22,9.7654,6.2093,8.4701,236.781,FAILED,FAILED,FAILED,4.493
warehouses_wt-cap131.wcsp.wcnf,2.1692,2.128,405.563,175.794,2.1408,2.1329,182.409,182.445,960.596,9.1726,9.1753,204.888,FAILED,FAILED,FAILED,2.128
warehouses_wt-cap132.wcsp.wcnf,2.2694,2.1387,406.629,182.139,2.1347,2.1695,182.423,182.455,1094.63,13.3611,13.2904,188.919,FAILED,FAILED,FAILED,2.1347
warehouses_wt-cap71.wcsp.wcnf,0.5996,0.5681,0.8645,180.598,0.614,0.6139,178.888,180.642,702.642,0.3468,0.3506,102.194,184.908,FAILED,1483,0.3468
warehouses_wt-cap72.wcsp.wcnf,0.5643,0.5807,1.4716,178.335,0.6209,0.6217,180.638,180.655,1325.5,0.4258,0.4252,128.745,199.213,FAILED,FAILED,0.4252
warehouses_wt-cap91.wcsp.wcnf,0.9367,0.9412,1.3849,181.001,1.0046,1.8867,173.769,181.054,1272,1.1117,1.1175,71.7122,893.194,FAILED,FAILED,0.9367
warehouses_wt-cap92.wcsp.wcnf,0.9449,1.8903,2.6711,181.063,0.9989,1.0151,181.051,181.044,1308.99,1.3871,1.3716,109.474,2033.77,FAILED,FAILED,0.9449
warehouses_wt-warehouse0.wcsp.wcnf,0.0166,0.0161,0.0077,0.0218,0.0179,0.0179,0.023,0.0231,0.0142,0.0034,0.0038,2.3831,0.0596,2.4329,0.011,0.0034
warehouses_wt-warehouse1.wcsp.wcnf,0.2191,0.2024,4.5075,180.15,0.2668,0.2647,180.259,180.27,119.585,0.1608,0.1568,3.2477,5.5578,80.0155,18.3819,0.1568
